Ge, 1.289, 0.483, 0.671, 5.32
Si, 1.677, 0.65, 0.804, 2.3301
KCl, 0.398, 0.062, 0.0625, 1.98
NaCl, 0.575, 0.099, 0.133, 2.214
Na,0.0615,0.0469,0.0592,1.01
Li,0.148,0.125,0.108,0.55
Diamond,10.76,1.25,5.76,3.512
CaF2,1.74,0.56,0.359,3.211
